backbone,probability_type,operating_point,threshold,accuracy,precision,recall_sensitivity,specificity,f1,true_negative,false_positive,false_negative,true_positive
resnet18,vanilla,default_0.50,0.5,0.8001251172974664,0.8382687927107062,0.7215686274509804,0.8722255548890222,0.7755532139093783,1454.0,213.0,426.0,1104.0
resnet18,vanilla,best_f1,0.4,0.7938692524241476,0.7822423849643552,0.7888888888888889,0.7984403119376124,0.7855515782622844,1331.0,336.0,323.0,1207.0
resnet18,vanilla,sensitivity_ge_0.90_best_specificity,0.2,0.7025336252736941,0.6318906605922551,0.9065359477124184,0.5152969406118776,0.7446979865771812,859.0,808.0,143.0,1387.0
resnet18,temperature_scaled,default_0.50,0.5,0.8001251172974664,0.8382687927107062,0.7215686274509804,0.8722255548890222,0.7755532139093783,1454.0,213.0,426.0,1104.0
resnet18,temperature_scaled,best_f1,0.45,0.8010634970284641,0.8099861303744799,0.7633986928104575,0.8356328734253149,0.7860026917900403,1393.0,274.0,362.0,1168.0
resnet18,temperature_scaled,sensitivity_ge_0.90_best_specificity,0.2,0.6825148576790742,0.611327280587981,0.9241830065359478,0.4607078584283143,0.7358834244080146,768.0,899.0,116.0,1414.0
resnet50,vanilla,default_0.50,0.5,0.8151391929934313,0.8922305764411027,0.6980392156862745,0.9226154769046192,0.7832783278327833,1538.0,129.0,462.0,1068.0
resnet50,vanilla,best_f1,0.3,0.8167031592117611,0.8134130146082338,0.8006535947712419,0.8314337132573485,0.8069828722002635,1386.0,281.0,305.0,1225.0
resnet50,vanilla,sensitivity_ge_0.90_best_specificity,0.1,0.6415389427588364,0.5766773162939297,0.9437908496732026,0.364127174565087,0.7159147248388696,607.0,1060.0,86.0,1444.0
resnet50,temperature_scaled,default_0.50,0.5,0.8151391929934313,0.8922305764411027,0.6980392156862745,0.9226154769046192,0.7832783278327833,1538.0,129.0,462.0,1068.0
resnet50,temperature_scaled,best_f1,0.35,0.8182671254300907,0.8234492160872529,0.7895424836601307,0.8446310737852429,0.8061394728061395,1408.0,259.0,322.0,1208.0
resnet50,temperature_scaled,sensitivity_ge_0.90_best_specificity,0.15,0.6512355333124804,0.5848670756646217,0.934640522875817,0.391121775644871,0.7194968553459119,652.0,1015.0,100.0,1430.0
